27.01.2016 12:32:14	Ansauglufttemperatur	Oeltemperatur	Drosselklappe	Pedalwert	Luftmassenmesser - Luftmasse	Motortemperatur
27.01.2016 12:36:15	13,500000	36,375999	0,102542	0,000000	10,500000	63,750000
27.01.2016 12:36:17	13,500000	36,375999	0,102542	0,000000	10,500000	63,750000
27.01.2016 12:36:18	13,500000	36,375999	0,102542	0,000000	10,500000	63,750000
27.01.2016 12:36:20	13,500000	36,375999	0,102542	0,000000	10,500000	63,750000
27.01.2016 12:36:21	13,500000	36,375999	0,102542	0,000000	10,500000	63,750000
27.01.2016 12:36:22	13,500000	37,171997	0,102542	0,000000	10,500000	63,750000
27.01.2016 12:36:24	13,500000	37,171997	0,102542	0,000000	10,500000	63,750000
27.01.2016 12:36:25	13,500000	37,171997	0,102542	0,000000	10,500000	63,750000
27.01.2016 12:36:26	13,500000	37,171997	0,102542	0,000000	10,250000	63,750000
27.01.2016 12:36:28	13,500000	37,171997	0,102542	0,000000	10,500000	63,750000
27.01.2016 12:36:29	13,500000	37,171997	0,102542	0,000000	10,500000	63,750000
27.01.2016 12:36:30	13,500000	37,968002	0,102542	0,000000	10,250000	64,500000
27.01.2016 12:36:32	13,500000	37,968002	0,000000	0,000000	10,500000	64,500000
27.01.2016 12:36:33	13,500000	37,968002	0,102542	0,000000	10,500000	64,500000
27.01.2016 12:36:50	13,500000	37,968002	0,102542	0,000000	10,500000	64,500000
27.01.2016 12:36:51	13,500000	39,559998	0,102542	0,000000	10,250000	64,500000
27.01.2016 12:36:52	14,250000	39,559998	0,102542	0,000000	17,500000	64,500000
27.01.2016 12:36:53	14,250000	39,559998	6,665204	24,038681	96,500000	64,500000
27.01.2016 12:36:55	13,500000	40,356003	0,102542	0,000000	26,250000	65,250000
27.01.2016 12:36:56	12,750000	40,356003	0,000000	20,867216	53,500000	65,250000
27.01.2016 12:36:57	13,500000	40,356003	1,333041	22,321108	63,250000	65,250000
27.01.2016 12:36:58	13,500000	40,356003	0,000000	0,000000	12,500000	65,250000
27.01.2016 12:37:00	13,500000	40,356003	0,000000	20,471697	50,000000	65,250000
27.01.2016 12:37:01	13,500000	41,152000	1,435582	21,791922	60,500000	65,250000
27.01.2016 12:37:02	14,250000	41,152000	0,000000	0,000000	39,000000	66,000000
27.01.2016 12:37:03	13,500000	41,152000	0,000000	14,659786	26,750000	66,000000
27.01.2016 12:37:05	13,500000	41,152000	0,000000	0,000000	12,750000	66,000000
27.01.2016 12:37:06	13,500000	41,152000	3,076248	22,321108	73,500000	66,000000
27.01.2016 12:37:07	14,250000	41,152000	5,229621	23,377653	68,000000	66,000000
27.01.2016 12:37:08	14,250000	41,947998	7,075370	24,170519	77,250000	66,750000
27.01.2016 12:37:10	14,250000	41,947998	7,177912	23,906841	81,000000	66,750000
27.01.2016 12:37:11	14,250000	41,947998	2,255915	20,208019	68,250000	66,750000
27.01.2016 12:37:12	13,500000	41,947998	0,102542	10,301768	19,250000	66,750000
27.01.2016 12:37:14	14,250000	41,947998	6,049954	25,622581	74,500000	67,500000
27.01.2016 12:37:15	14,250000	41,947998	9,331285	25,888092	81,250000	67,500000
27.01.2016 12:37:16	14,250000	41,947998	11,074492	25,622581	88,000000	67,500000
27.01.2016 12:37:18	13,500000	41,947998	8,613494	24,170519	85,500000	67,500000
27.01.2016 12:37:19	13,500000	41,947998	0,000000	0,000000	18,750000	68,250000
27.01.2016 12:37:20	12,750000	41,947998	0,102542	0,000000	13,750000	68,250000
27.01.2016 12:37:22	12,750000	42,744003	0,102542	0,000000	13,000000	68,250000
27.01.2016 12:37:23	12,750000	42,744003	0,102542	0,000000	12,750000	69,000000
27.01.2016 12:37:24	12,750000	42,744003	0,102542	0,000000	12,250000	69,000000
27.01.2016 12:37:25	12,750000	42,744003	0,102542	0,000000	12,500000	69,000000
27.01.2016 12:37:27	12,750000	42,744003	0,102542	0,000000	12,750000	69,750000
27.01.2016 12:37:28	13,500000	42,744003	0,102542	0,000000	12,750000	69,750000
27.01.2016 12:37:29	0	0	0	0	0	0
27.01.2016 12:37:31	13,500000	43,540001	0,102542	0,000000	12,750000	69,750000
27.01.2016 12:37:33	13,500000	43,540001	0,102542	0,000000	12,750000	69,750000
27.01.2016 12:37:34	13,500000	43,540001	0,102542	0,000000	13,250000	69,750000
27.01.2016 12:37:36	13,500000	43,540001	0,102542	0,000000	12,250000	69,750000
27.01.2016 12:37:37	13,500000	43,540001	0,102542	0,000000	12,250000	69,750000
27.01.2016 12:37:38	13,500000	43,540001	0,102542	0,000000	12,250000	69,750000
27.01.2016 12:37:40	13,500000	43,540001	0,102542	0,000000	12,000000	69,750000
27.01.2016 12:37:53	13,500000	43,540001	0,102542	0,000000	11,750000	69,750000
27.01.2016 12:37:53	14,250000	44,335999	0,102542	0,000000	10,500000	70,500000
27.01.2016 12:37:55	14,250000	44,335999	0,102542	0,000000	10,500000	70,500000
27.01.2016 12:37:56	14,250000	44,335999	0,000000	0,000000	10,500000	70,500000
27.01.2016 12:37:57	14,250000	44,335999	0,102542	0,000000	10,250000	70,500000
